timestamp_vn,symbol,side,score,last_price,price_change_pct_1m,rsi14,macd,macd_signal,volume_ratio,bb_position,alpha_count,reasons
2026-04-25T11:37:09.172+07:00,HBAR_USDT,SHORT,1,0.09118,0.0,51.7676,1.369e-05,1.385e-05,0.8599,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:37:10.813+07:00,AAVE_USDT,SHORT,1,94.89,-0.0527,48.6139,0.03287398,0.03660692,0.1398,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:37:53.738+07:00,XAUT_USDT,SHORT,1,4694.9,-0.0256,50.7526,0.63423716,0.56858024,2.5712,INSIDE,1,Volume spike 2.57x + nến giảm
2026-04-25T11:38:01.446+07:00,PENGU_USDT,LONG,1,0.008557,-0.0584,36.0791,-2.33e-06,2.73e-06,1.7818,BELOW_LOWER,1,Giá dưới Bollinger Lower Band
2026-04-25T11:39:00.352+07:00,ZEC_USDT,LONG,1,357.84,0.0951,45.9136,-0.08891034,0.0387126,3.6733,INSIDE,1,Volume spike 3.67x + nến tăng
2026-04-25T11:39:01.545+07:00,DOGE_USDT,LONG,1,0.09866,0.0304,46.9652,-1.253e-05,-1.164e-05,3.6126,INSIDE,1,Volume spike 3.61x + nến tăng
2026-04-25T11:39:54.458+07:00,PEPE_USDT,LONG,1,3.88e-06,0.0026,44.1572,-0.0,-0.0,0.6119,INSIDE,1,MACD cắt lên Signal
2026-04-25T11:39:59.720+07:00,BCH_USDT,LONG,1,455.08,0.0132,55.68,-0.01919487,-0.02472836,0.4978,INSIDE,1,MACD cắt lên Signal
2026-04-25T11:40:06.785+07:00,RAVE_USDT,LONG,1,0.9314,0.453,58.2365,-0.00013352,-0.00124387,2.2142,INSIDE,1,Volume spike 2.21x + nến tăng
2026-04-25T11:40:08.506+07:00,TRADOOR_USDT,LONG,1,1.134,0.8897,60.58,0.00844157,0.00836453,0.0655,INSIDE,1,MACD cắt lên Signal
2026-04-25T11:40:58.112+07:00,UKOIL_USDT,LONG,1,100.473,0.1455,46.7196,-0.04464991,-0.0172333,2.0007,INSIDE,1,Volume spike 2.00x + nến tăng
