timestamp_vn,symbol,last_price,price_change_pct_1m,rsi14,macd,macd_signal,volume_ratio,bb_position,status
2026-04-25T10:04:24.917+07:00,APE_USDT,0.2124,0.5682,54.4197,0.00116876,0.00107155,0.3644,INSIDE,NO_SIGNAL
2026-04-25T10:04:29.057+07:00,SUI_USDT,0.9502,0.0211,46.9816,3.647e-05,0.00020058,0.4775,INSIDE,NO_SIGNAL
2026-04-25T10:04:31.418+07:00,PENGU_USDT,0.008508,0.1059,66.5734,7.54e-06,5.86e-06,0.1019,ABOVE_UPPER,NO_SIGNAL
2026-04-25T10:04:34.332+07:00,XMR_USDT,368.68,0.0298,65.7247,0.11788253,0.0952385,0.0212,INSIDE,NO_SIGNAL
2026-04-25T10:04:37.110+07:00,ICP_USDT,2.459,0.0407,49.6253,-0.00035145,-0.00026263,0.7598,INSIDE,NO_SIGNAL
2026-04-25T10:04:39.353+07:00,HBAR_USDT,0.09091,0.0,56.0602,1.617e-05,1.129e-05,0.4839,INSIDE,NO_SIGNAL
2026-04-25T10:04:41.434+07:00,AAVE_USDT,94.91,-0.0421,61.718,0.0673908,0.06512478,0.5973,INSIDE,NO_SIGNAL
2026-04-25T10:04:43.947+07:00,RAVE_USDT,0.9262,0.0648,64.4631,0.00283606,0.00245944,0.9233,INSIDE,NO_SIGNAL
2026-04-25T10:04:47.157+07:00,TRADOOR_USDT,1.046,-1.6917,36.193,-0.0043013,0.00134258,2.7358,INSIDE,NO_SIGNAL
2026-04-25T10:04:48.598+07:00,HYPE_USDT,41.173,-0.017,53.0371,0.00313251,0.00338768,0.0091,INSIDE,NO_SIGNAL
2026-04-25T10:04:59.544+07:00,BTC_USDT,77600.0,0.0271,62.6181,2.46851968,2.07958851,1.9511,ABOVE_UPPER,NO_SIGNAL
2026-04-25T10:05:02.140+07:00,XAUT_USDT,4693.4,0.0064,54.4952,0.04598541,0.05078829,0.2584,INSIDE,NO_SIGNAL
2026-04-25T10:05:04.146+07:00,SOL_USDT,86.29,0.0116,62.3257,0.0132304,0.00639301,0.0001,ABOVE_UPPER,NO_SIGNAL
2026-04-25T10:05:07.054+07:00,PEPE_USDT,3.88e-06,-0.0077,49.1875,0.0,0.0,0.34,INSIDE,NO_SIGNAL
2026-04-25T10:05:10.898+07:00,ETH_USDT,2317.84,0.0004,68.5221,0.29554229,0.08224517,0.114,ABOVE_UPPER,NO_SIGNAL
2026-04-25T10:05:15.042+07:00,TAO_USDT,248.96,-0.012,66.7959,0.15279528,0.12837179,0.3571,INSIDE,NO_SIGNAL
2026-04-25T10:05:19.168+07:00,USOIL_USDT,94.812,0.0053,45.856,-0.0115654,-0.00795508,0.0044,INSIDE,NO_SIGNAL
